"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"SPATA7",-1.63788509902362,-6.08104433391999,-2.28125975920303,0.0421787259070034,0.618815889727037,-3.84472614757884
"C2orf81",1.81370852273642,-2.72877488549608,2.21952525754365,0.0470964844753319,0.639629448689624,-3.84507907955973
"LRP6",0.878593535966785,-1.66486190023329,2.36377104807835,0.0363681289693286,0.584722696317205,-3.84606690264357
"C1orf85",1.04801691252017,-1.43016423692081,2.37739758397704,0.0354857733370883,0.577821676223367,-3.84644171836182
"WBP11P1",2.04251775508836,-4.84567095708353,2.21624440347365,0.0473725596582126,0.640632003137074,-3.84897802547665
"PLAA",-0.85558958638265,-2.11898478853956,-2.31140501581462,0.0399595007371155,0.608652217323453,-3.84917177626945
"DGCR9",-1.86946436350821,-5.89467570147594,-2.25676605974657,0.0440682165641939,0.625259908025413,-3.84971857382888
"TRIP4",-2.16347791468001,-4.28498833503179,-2.21571145157369,0.0474175511397897,0.640632003137074,-3.85093533852263
"C2orf56",2.16212484458542,-4.20726015904987,2.22938420340576,0.0462760577634122,0.635718928321374,-3.8519372276796
"SUV39H2",1.16156760928233,-1.77813030274979,2.30753309647804,0.0402381515602647,0.609588867642627,-3.85215572647714
"EHMT2",0.854068794781094,0.633729214833884,2.52862665114677,0.0269836358994696,0.516811868323608,-3.85248584209417
"ANKRD1",-2.06693379769134,-3.30821629522422,-2.30411519227309,0.0404856750540335,0.609588867642627,-3.85310522374992
"LYRM2",0.91841170085707,-0.835823803263075,2.38619686487863,0.0349270003428421,0.575331685673715,-3.85351032397765
"CNPY4",0.889540634684269,-1.72485306310935,2.33550475551173,0.0382662856298453,0.59771217963445,-3.85387921845878
"ATP6V0A4",1.49305781515972,-6.42299653504966,2.22301943969324,0.0468041407876877,0.638906492305889,-3.8554504512842
"TTLL10",1.77853668592985,-5.55019231033301,2.24964821604421,0.0446322797758959,0.628917897639857,-3.85601566741332
"SAAL1",1.96188632026273,-3.80315098884846,2.20180171248133,0.0486062618483384,0.646768482317386,-3.8567081466249
"LCMT2",-0.719561022643969,-2.00566956260567,-2.32936520063235,0.0386909838839797,0.599889707455321,-3.85996692170508
"NUF2",1.85652992010681,-4.51241230770689,2.19727809688071,0.0489989038003728,0.647879288098664,-3.86008939628656
"LOC256880",1.45712220041561,-6.26820132872384,2.27046836839135,0.0430014551110677,0.620796514591516,-3.8615684053386
"PRINS",0.997056128931034,-6.78171798731239,2.30993691425321,0.0400649373278913,0.609046155359003,-3.86465527054645
"KRBA2",1.77370289001196,-5.49805541142003,2.24689994616984,0.0448519071323036,0.628917897639857,-3.86492576935468
"LZTS1",1.52016236280023,-5.75664974628318,2.26482440992874,0.0434378315175402,0.622079665826891,-3.86591375157835
"TTLL8",1.92249219518166,-6.22987299685655,2.23526487204102,0.0457931839179974,0.633249263104309,-3.86674747294802
"KDM3B",0.888696915785961,-0.0926742286144444,2.46554916474962,0.0302575943097571,0.545746868302102,-3.8668981463043
"LOC643387",1.94170998631954,-5.76104597447386,2.2106264115932,0.0478488741564592,0.640822181611425,-3.87128207973691
"DIRAS1",-1.63788509902362,-5.97538016720525,-2.26337982940466,0.0435502006265039,0.62248978329936,-3.87280581479223
"LOC100288921",0.968825575683625,-6.78171798731239,2.30477180327174,0.0404380105539302,0.609588867642627,-3.87292909915449
"MAT1A",0.968825575683625,-6.78171798731239,2.30477180327174,0.0404380105539302,0.609588867642627,-3.87292909915449
"TRAIP",1.84412594992085,-5.2132849036981,2.23723979258448,0.0456320979848044,0.632416986499188,-3.87303384395397
"SPP1",2.0957223324647,-5.27468892828108,2.22530543785164,0.046613815650737,0.637912102718137,-3.87386043753529
"C1QL4",1.23207421929002,-6.10347284489216,2.28219578387165,0.0421080775603726,0.618794652147377,-3.87462233559487
"LOC100128392",0.774896193621031,-0.213591905300862,2.46095979484522,0.0305103180767205,0.548332748746565,-3.87502503285576
"CLDN10",1.60479664717887,-2.62730540272865,2.21450139088293,0.047519854575171,0.640632003137074,-3.87642919292031
"ULBP2",-1.22347123660609,-2.84406760158353,-2.25083328401202,0.0445378920878167,0.628367750440998,-3.87687268749256
"EPB42",1.51038087925787,-6.03017046665543,2.25710430602378,0.0440415817508753,0.625259908025413,-3.87800308742564
"ZNF382",-1.38109473547091,-6.2849705798569,-2.27950840947094,0.0423112171006863,0.618939037007231,-3.87901807709746
"RAC2",0.951916195085953,-0.253189416344013,2.43780946165314,0.0318166794671313,0.555871756738989,-3.87924902812018
"TUBB2B",-1.17733765020104,0.608231852270976,-2.5673874358408,0.0251459113436341,0.506779054096663,-3.87995634267656
"RGS7",1.89287583942246,-4.19405161122733,2.19449648842224,0.0492418347892529,0.648393928572143,-3.88028658314292
"TMEM132E",-1.79498437981125,-5.49791561536432,-2.24126333288716,0.0453055830851039,0.631107744223285,-3.88171657059851
"LOC100287016",-0.902436842925323,-3.59091388398468,-2.21127261603187,0.0477938557902174,0.640822181611425,-3.88211476132954
"LOC100287425",1.77175974005656,-6.26820132872384,2.198852048626,0.0488619473411682,0.646788744345527,-3.88218194945472
"PKP1",-1.34444718980702,-6.10600403490543,-2.27484834420219,0.0426656958808273,0.620796514591516,-3.88639699210934
"WDR36",1.2595496028602,-2.99589008550424,2.20103633965401,0.0486724843328017,0.646768482317386,-3.88659124957391
"TRIAP1",1.76682169070861,-4.24072819290003,2.1953748438999,0.0491650007034165,0.648123989760805,-3.88743300728042
"LOC100288419",0.688879982639878,2.00863555448008,2.59004464803468,0.0241289558663455,0.497817849628825,-3.89030155748146
"LOC340947",1.78129273858029,-4.54446144359137,2.19235903178189,0.0494292847272687,0.649651759190773,-3.89198491765223
"ANKLE2",-1.13316677157124,0.511096514313137,-2.5226012344833,0.0272808411351352,0.51920648826943,-3.89348107734712
"LOC100129720",0.899007999977805,0.533544864583993,2.50604683354388,0.0281139092622867,0.524495063122156,-3.89385857028891
"ZNF239",-2.15506208229791,-5.97237430790335,-2.21474484514988,0.047499255123032,0.640632003137074,-3.89422991749855
